model,variable_count,train_accuracy,best_params,train_precision,train_recall,train_f1,train_roc_auc,train_kappa
KNN,12,1.0,"{'algorithm': 'auto', 'leaf_size': 20, 'metric': 'minkowski', 'n_neighbors': 1, 'p': 2, 'weights': 'uniform'}",1.0,1.0,1.0,1.0,1.0
svm,12,0.704,"{'C': 1000, 'degree': 3, 'kernel': 'linear'}",0.708,0.704,0.686,0.663,0.347
random_forest,12,0.968,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50}",0.968,0.968,0.968,0.965,0.934
DT,12,0.966,"{'criterion': 'gini', 'max_depth': 12, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 3}",0.967,0.966,0.965,0.959,0.928
LDShrink,13,0.681,"{'n_components': 1, 'solver': 'lsqr'}",0.68,0.681,0.66,0.638,0.294
LDSVD,13,0.686,"{'n_components': 1, 'store_covariance': True}",0.686,0.686,0.666,0.643,0.306
XGB,13,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 15, 'min_child_weight': 1, 'n_estimators': 100, 'objective': 'binary:logistic', 'subsample': 0.8}",1.0,1.0,1.0,1.0,1.0
NB,13,0.583,"{'priors': None, 'var_smoothing': 1e-09}",0.679,0.583,0.568,0.627,0.228
KNN,13,1.0,"{'algorithm': 'auto', 'leaf_size': 20, 'metric': 'minkowski', 'n_neighbors': 1, 'p': 2, 'weights': 'uniform'}",1.0,1.0,1.0,1.0,1.0
svm,13,0.686,"{'C': 100, 'degree': 3, 'kernel': 'linear'}",0.689,0.686,0.663,0.64,0.301
random_forest,13,0.926,"{'criterion': 'gini', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 10}",0.926,0.926,0.926,0.919,0.846
DT,13,0.916,"{'criterion': 'gini', 'max_depth': 12, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 2}",0.916,0.916,0.916,0.912,0.825
