hisse;CO;LO;NO;FBO;KO;ADH;SDH;AK;BKM;FM;NKM;OK;ROIC;Y
TKNSA;0.67;0.09;0.03;30.62;116.65;3.64;5.06;-13.08;17.27;7.46;-3.59;83.75;-61.53;1
TAVHL;1.2;1.19;0.72;30.23;65.92;0.21;43.84;10.22;47.23;43.92;49.8;31.52;-60.51;1
SELEC;1.45;1.12;0.21;3.37;63.64;2.39;10.2;9.33;8.28;4.29;3.9;24.99;24.32;0
PGSUS;1.28;1.26;0.88;51.07;74.63;0.64;124.61;7.68;24.48;32.95;12.09;29.32;78.22;1
ODAS;0.45;0.34;0.01;55.12;75.49;0.3;6.64;-5.91;18.77;24.29;-19.87;-22.81;8.7;0
NTHOL;1.15;1.09;0.71;19.86;39.2;0.13;17.32;1.11;30.99;29.93;8.28;1.81;0.91;0
MAVI;1;0.55;0.28;39.15;75.35;1.74;3.06;5.78;49.06;22.35;3.31;23.89;-43.56;1
KARSN;0.94;0.85;0.04;59.07;73.83;0.7;9.18;0.74;18.5;14.45;1.06;3.62;58.71;1
INDES;1.24;0.96;0.16;19.9;78.37;2.66;12.57;4.89;4.88;3.11;1.84;22.67;28.91;0
SAHOL;0.74;0.73;0.18;14.78;83.64;0.05;4.9;0.97;94.99;49.85;20.12;12.09;-7.33;1
GSDHO;4.81;4.8;3.15;15.13;27.3;0.06;28.73;8.15;118.06;79.65;140.53;11.68;4.15;1
GLYHO;0.86;0.8;0.31;61.06;78.49;0.22;11.17;-2.06;31.5;36.83;-9.44;-13.61;16.28;1
DOAS;0.81;0.51;0.21;52.26;73.15;2.08;7.45;1.6;12.9;6.05;0.77;5.95;-36.77;1
DOHOL;2.47;2.25;1.57;21.81;32.11;1.2;19.26;5.56;8.1;5.11;4.65;8.94;14.37;1
BIMAS;0.84;0.51;0.23;28.42;72.07;3.33;14.88;10.16;17.37;7.83;3.05;31.61;70.24;1
ASELS;1.8;1.23;0.45;8.71;47.06;0.58;2.4;14.81;25.91;21.93;25.67;28.27;56.25;0
ALGYO;1.21;1.9;1.54;0.52;1.19;0.03;0.52;29.03;95.27;84.76;75.73;29.33;6.39;1
TTKOM;0.88;0.86;0.36;52.08;76.34;0.62;49.11;6.32;48.01;46.88;10.17;28.49;78.79;1
TKFEN;1.39;1.17;0.62;6.6;56.59;1.18;8.66;11.5;16.45;13.12;9.73;29.01;40.26;1
SOKM;0.43;0.12;0.1;36.36;10.47;3.58;11.18;-6.66;23.3;9.16;-1.86;-25.81;-62.65;1
SNGYO;1.43;0.53;0.04;69.9;89.37;0.33;0.72;4.17;31.64;24.91;12.56;47.12;40.99;0
MGROS;0.7;0.35;0.31;52.01;97.77;1.83;6.91;-3.88;26.76;9.17;-2.12;-13.16;-23.77;1
LOGO;1.55;1.55;0.63;17.56;49.13;0.63;113.2;12.89;82.23;33.7;20.45;26.03;43.83;1
KCHOL;1.39;1.1;0.64;39.84;67.19;1.11;8.31;3.17;14.12;7;2.87;12.62;39.98;1
GOZDE;0.1;0.1;0.45;3.31;45.57;0.01;-0.23;75.01;-8.11;-25.64;28.54;-0.4;0.34;1
ENKAI;3.01;2.73;2.25;2.51;20.21;0.24;5.11;8.6;23.04;22.23;36.23;10.94;7.97;1
EKGYO;2.34;0.76;0.07;19.72;43.18;0.24;0.28;3.28;27.26;20.9;13.73;5.8;10.1;1
DEVA;1.85;1.21;0.41;37.73;51.36;0.73;1.62;15.1;52.34;32.41;20.82;32.19;55.59;1
ALARK;2.23;2.07;1.36;10.76;37.28;0.45;6.04;12.4;26.94;20.8;27.77;28.73;26.04;0
AKSEN;0.91;0.82;0.04;37.35;55.08;0.75;14.36;4.41;18.2;25.16;5.9;12.84;19.48;1
NIBAS;1.48;1.24;0.16;0;18.15;0.3;7.69;3.75;3.51;-11.62;12.54;4.65;-8.22;0
KONYA;3.58;2.57;1.08;0;19.09;0.72;3.53;0.14;12.33;5.34;0.19;0.17;-1.04;1
GOLTS;1.08;0.87;0.03;51.13;61.62;0.49;3.21;2.9;38;22.91;5.87;8.39;17.72;0
AKCNS;1.18;0.9;0.23;23.71;48.2;0.88;7.38;3.61;13.85;13.4;4.12;7.09;18.15;1
DOGUB;1.24;0.2;0.02;0.04;20.42;0.16;1.63;-11.91;-1.78;-54.08;-74.05;-19.06;-14.87;0
BTCIM;0.72;0.47;0.12;58.72;69.04;0.32;5.17;-7.52;3.82;0.28;-23.21;-23.72;-4.47;1
BSOKE;0.56;0.32;0.12;67.24;78.26;0.18;3.01;-15.17;-13.41;-18.1;-83.84;-51.31;-10.29;1
OTKAR;1.87;1.13;0.21;29.95;76.19;0.98;2.07;14.12;37.81;17.76;14.46;68.45;42.58;1
AFYON;0.22;0.19;0.02;67.92;73.52;0.25;12.1;-9.32;-4.04;9.7;-37.35;-30.17;1.83;1
ASUZU;1;0.7;0.16;31.7;64.22;0.89;3.14;1.37;18.19;9.91;1.53;3.88;26.21;1
FMIZP;6.59;5.92;4.81;1.17;14.39;1.76;15.44;48.3;28.14;25.22;27.47;54.64;96.7;1
DOKTA;1.08;0.61;0.12;77.06;94.07;0.83;4.82;7.03;21.73;15.95;8.48;91.76;21.15;1
DITAS;1.22;0.74;0.05;25.16;68.98;1.32;4.35;1.28;21.74;7.28;0.97;3.87;8.98;1
